hardware,model,layer_name,input,kv_cache,latency(ns)
A800,qwen2-moe,input_layernorm,1,22,58879
A800,qwen2-moe,attention/qkv,1,22,76117
A800,qwen2-moe,attention/rotary_emb,1,22,135636
A800,qwen2-moe,attention/dense,1,22,56362
A800,qwen2-moe,attention/wrapper,1,22,751487
A800,qwen2-moe,post_layernorm,1,22,58538
A800,qwen2-moe,mlp/fc,1,22,77823
A800,qwen2-moe,mlp/gelu,1,22,78719
A800,qwen2-moe,mlp/proj,1,22,71722
A800,qwen2-moe,moe/shared_expert,1,22,492586
A800,qwen2-moe,moe/shared_expert_gate,1,22,89429
A800,qwen2-moe,moe/gate,1,22,61439
A800,qwen2-moe,moe/experts,1,22,413183
A800,qwen2-moe,mlp/wrapper,1,22,1464106
A800,qwen2-moe,ln_f,1,22,57344
A800,qwen2-moe,lm_head,1,22,407552
A800,qwen2-moe,vocab_embedding,1,23,75776
A800,qwen2-moe,input_layernorm,1,23,58623
A800,qwen2-moe,attention/qkv,1,23,77397
A800,qwen2-moe,attention/rotary_emb,1,23,133802
A800,qwen2-moe,attention/dense,1,23,56405
A800,qwen2-moe,attention/wrapper,1,23,752810
A800,qwen2-moe,post_layernorm,1,23,58325
A800,qwen2-moe,mlp/fc,1,23,78335
A800,qwen2-moe,mlp/gelu,1,23,78463
A800,qwen2-moe,mlp/proj,1,23,72447
A800,qwen2-moe,moe/shared_expert,1,23,494122
A800,qwen2-moe,moe/shared_expert_gate,1,23,88831
A800,qwen2-moe,moe/gate,1,23,60672
A800,qwen2-moe,moe/experts,1,23,411220
A800,qwen2-moe,mlp/wrapper,1,23,1465044
A800,qwen2-moe,ln_f,1,23,58368
A800,qwen2-moe,lm_head,1,23,407552
A800,qwen2-moe,vocab_embedding,1,24,71680
A800,qwen2-moe,input_layernorm,1,24,58666
A800,qwen2-moe,attention/qkv,1,24,76245
A800,qwen2-moe,attention/rotary_emb,1,24,135210
A800,qwen2-moe,attention/dense,1,24,56874
A800,qwen2-moe,attention/wrapper,1,24,819924
A800,qwen2-moe,post_layernorm,1,24,58624
A800,qwen2-moe,mlp/fc,1,24,77866
A800,qwen2-moe,mlp/gelu,1,24,79401
A800,qwen2-moe,mlp/proj,1,24,71466
A800,qwen2-moe,moe/shared_expert,1,24,493439
A800,qwen2-moe,moe/shared_expert_gate,1,24,88789
A800,qwen2-moe,moe/gate,1,24,60543
A800,qwen2-moe,moe/experts,1,24,412927
A800,qwen2-moe,mlp/wrapper,1,24,1464106
A800,qwen2-moe,ln_f,1,24,57344
A800,qwen2-moe,lm_head,1,24,407552
A800,qwen2-moe,vocab_embedding,1,25,72704
A800,qwen2-moe,input_layernorm,1,25,59221
A800,qwen2-moe,attention/qkv,1,25,76629
A800,qwen2-moe,attention/rotary_emb,1,25,134911
A800,qwen2-moe,attention/dense,1,25,56106
A800,qwen2-moe,attention/wrapper,1,25,751828
A800,qwen2-moe,post_layernorm,1,25,58581
A800,qwen2-moe,mlp/fc,1,25,77866
A800,qwen2-moe,mlp/gelu,1,25,78932
A800,qwen2-moe,mlp/proj,1,25,71893
A800,qwen2-moe,moe/shared_expert,1,25,493994
A800,qwen2-moe,moe/shared_expert_gate,1,25,89087
A800,qwen2-moe,moe/gate,1,25,61098
A800,qwen2-moe,moe/experts,1,25,412074
A800,qwen2-moe,mlp/wrapper,1,25,1466154
A800,qwen2-moe,ln_f,1,25,58368
A800,qwen2-moe,lm_head,1,25,409599
A800,qwen2-moe,vocab_embedding,1,26,72704
A800,qwen2-moe,input_layernorm,1,26,59562
A800,qwen2-moe,attention/qkv,1,26,76543
A800,qwen2-moe,attention/rotary_emb,1,26,136404
A800,qwen2-moe,attention/dense,1,26,56149
A800,qwen2-moe,attention/wrapper,1,26,753450
A800,qwen2-moe,post_layernorm,1,26,59050
A800,qwen2-moe,mlp/fc,1,26,77951
A800,qwen2-moe,mlp/gelu,1,26,78889
A800,qwen2-moe,mlp/proj,1,26,72021
A800,qwen2-moe,moe/shared_expert,1,26,492756
A800,qwen2-moe,moe/shared_expert_gate,1,26,89130
A800,qwen2-moe,moe/gate,1,26,60671
A800,qwen2-moe,moe/experts,1,26,412116
A800,qwen2-moe,mlp/wrapper,1,26,1464404
A800,qwen2-moe,ln_f,1,26,58368
A800,qwen2-moe,lm_head,1,26,405503
A800,qwen2-moe,vocab_embedding,1,27,72704
A800,qwen2-moe,input_layernorm,1,27,58709
A800,qwen2-moe,attention/qkv,1,27,76842
A800,qwen2-moe,attention/rotary_emb,1,27,134527
A800,qwen2-moe,attention/dense,1,27,55807
A800,qwen2-moe,attention/wrapper,1,27,752340
A800,qwen2-moe,post_layernorm,1,27,58410
A800,qwen2-moe,mlp/fc,1,27,77098
A800,qwen2-moe,mlp/gelu,1,27,79103
A800,qwen2-moe,mlp/proj,1,27,72191
A800,qwen2-moe,moe/shared_expert,1,27,494122
A800,qwen2-moe,moe/shared_expert_gate,1,27,89429
A800,qwen2-moe,moe/gate,1,27,61013
A800,qwen2-moe,moe/experts,1,27,412287
A800,qwen2-moe,mlp/wrapper,1,27,1467306
A800,qwen2-moe,ln_f,1,27,56320
A800,qwen2-moe,lm_head,1,27,407552
A800,qwen2-moe,vocab_embedding,1,28,71680
A800,qwen2-moe,input_layernorm,1,28,58325
A800,qwen2-moe,attention/qkv,1,28,76629
A800,qwen2-moe,attention/rotary_emb,1,28,135466
A800,qwen2-moe,attention/dense,1,28,56533
A800,qwen2-moe,attention/wrapper,1,28,752426
A800,qwen2-moe,post_layernorm,1,28,58496
A800,qwen2-moe,mlp/fc,1,28,77823
A800,qwen2-moe,mlp/gelu,1,28,79231
A800,qwen2-moe,mlp/proj,1,28,71424
A800,qwen2-moe,moe/shared_expert,1,28,494506
A800,qwen2-moe,moe/shared_expert_gate,1,28,88490
A800,qwen2-moe,moe/gate,1,28,60671
A800,qwen2-moe,moe/experts,1,28,414676
A800,qwen2-moe,mlp/wrapper,1,28,1467476
A800,qwen2-moe,ln_f,1,28,57344
A800,qwen2-moe,lm_head,1,28,404480
A800,qwen2-moe,vocab_embedding,1,29,73728
A800,qwen2-moe,input_layernorm,1,29,59818
A800,qwen2-moe,attention/qkv,1,29,76586
A800,qwen2-moe,attention/rotary_emb,1,29,135978
A800,qwen2-moe,attention/dense,1,29,56063
A800,qwen2-moe,attention/wrapper,1,29,754772
A800,qwen2-moe,post_layernorm,1,29,58965
A800,qwen2-moe,mlp/fc,1,29,77695
A800,qwen2-moe,mlp/gelu,1,29,79487
A800,qwen2-moe,mlp/proj,1,29,71765
A800,qwen2-moe,moe/shared_expert,1,29,493780
A800,qwen2-moe,moe/shared_expert_gate,1,29,90666
A800,qwen2-moe,moe/gate,1,29,60117
A800,qwen2-moe,moe/experts,1,29,411135
A800,qwen2-moe,mlp/wrapper,1,29,1466794
A800,qwen2-moe,ln_f,1,29,58368
A800,qwen2-moe,lm_head,1,29,406527
A800,qwen2-moe,vocab_embedding,1,30,72704
A800,qwen2-moe,input_layernorm,1,30,58410
A800,qwen2-moe,attention/qkv,1,30,78079
A800,qwen2-moe,attention/rotary_emb,1,30,134996
A800,qwen2-moe,attention/dense,1,30,56703
A800,qwen2-moe,attention/wrapper,1,30,789204
A800,qwen2-moe,post_layernorm,1,30,58239
A800,qwen2-moe,mlp/fc,1,30,78676
A800,qwen2-moe,mlp/gelu,1,30,78079
A800,qwen2-moe,mlp/proj,1,30,72490
A800,qwen2-moe,moe/shared_expert,1,30,494079
A800,qwen2-moe,moe/shared_expert_gate,1,30,89343
A800,qwen2-moe,moe/gate,1,30,61354
A800,qwen2-moe,moe/experts,1,30,411391
A800,qwen2-moe,mlp/wrapper,1,30,1469012
A800,qwen2-moe,ln_f,1,30,57344
A800,qwen2-moe,lm_head,1,30,417791
A800,qwen2-moe,vocab_embedding,1,31,78847
A800,qwen2-moe,input_layernorm,1,31,58538
A800,qwen2-moe,attention/qkv,1,31,77823
A800,qwen2-moe,attention/rotary_emb,1,31,134186
A800,qwen2-moe,attention/dense,1,31,56405
A800,qwen2-moe,attention/wrapper,1,31,752852
A800,qwen2-moe,post_layernorm,1,31,58325
A800,qwen2-moe,mlp/fc,1,31,78335
A800,qwen2-moe,mlp/gelu,1,31,78292
A800,qwen2-moe,mlp/proj,1,31,72917
A800,qwen2-moe,moe/shared_expert,1,31,494335
A800,qwen2-moe,moe/shared_expert_gate,1,31,89471
A800,qwen2-moe,moe/gate,1,31,60757
A800,qwen2-moe,moe/experts,1,31,411733
A800,qwen2-moe,mlp/wrapper,1,31,1466239
